alert_id,cve_id
AA21-200B,T1140
AA21-200B,T1078
AA21-200B,T1543
AA21-200B,T1059
AA21-200B,T1574
AA21-200B,T1115
AA21-200B,T1204
AA21-200B,T1571
AA21-200B,T1083
AA21-200B,T1564
AA21-200B,T1053
AA21-200B,T1210
AA21-200B,T1055
AA21-200B,T1090
AA21-200B,T1105
AA21-200B,T1608
AA21-200B,T1057
AA21-200B,T1027
AA21-200A,T1566
AA21-200A,T1583
AA21-200A,T1203
AA21-200A,T1572
AA21-200A,T1041
AA21-200A,T1190
AA21-200A,T1133
AA21-200A,T1189
AA21-200A,T1532
AA21-200A,T1074
AA21-200A,T1560
AA21-200A,T1589
AA21-200A,T1078
AA21-200A,T1586
AA21-200A,T1059
AA21-200A,T1585
AA21-200A,T1204
AA21-200A,T1090
AA21-200A,T1534
AA21-200A,T1001
AA21-200A,T1027
AA21-148A,T1105
AA21-148A,T1566
AA21-148A,T1204
AA21-148A,T1055
AA21-131A,T1190
AA21-131A,T1486
AA21-131A,T1566
AA21-131A,T1133
AA21-076A,T1573
AA21-076A,T1566
AA21-076A,T1132
AA21-076A,T1592
AA21-076A,T1008
AA21-076A,T1033
AA21-076A,T1570
AA21-076A,T1552
AA21-076A,T1562
AA21-076A,T1071
AA21-076A,T1069
AA21-076A,T1018
AA21-076A,T1041
AA21-076A,T1007
AA21-076A,T1496
AA21-076A,T1185
AA21-076A,T1140
AA21-076A,T1106
AA21-076A,T1016
AA21-076A,T1543
AA21-076A,T1059
AA21-076A,T1087
AA21-076A,T1204
AA21-076A,T1571
AA21-076A,T1082
AA21-076A,T1083
AA21-076A,T1555
AA21-076A,T1005
AA21-076A,T1053
AA21-076A,T1036
AA21-076A,T1055
AA21-076A,T1482
AA21-076A,T1105
AA21-076A,T1056
AA21-076A,T1112
AA21-076A,T1553
AA21-076A,T1027
AA21-048A,T1548
AA21-048A,T1573
AA21-048A,T1566
AA21-048A,T1588
AA21-048A,T1071
AA21-048A,T1543
AA21-048A,T1059
AA21-048A,T1041
AA21-048A,T1547
AA21-048A,T1587
AA21-048A,T1204
AA21-048A,T1564
AA21-048A,T1053
AA21-048A,T1033
AA21-048A,T1583
AA21-048A,T1027
AA21-008A,T1552
AA21-008A,T1110
AA20-352A,T1078
AA20-352A,T1584
AA20-352A,T1195
AA20-352A,T1071
AA20-352A,T1105
AA20-352A,T1543
AA20-352A,T1101
AA20-352A,T1132
AA20-352A,T1553
AA20-352A,T1133
AA20-352A,T1083
AA20-352A,T1070
AA20-352A,T1057
AA20-352A,T1012
AA20-352A,T1569
AA20-352A,T1518
AA20-352A,T1568
AA20-352A,T1027
AA20-336A,T1573
AA20-336A,T1136
AA20-336A,T1219
AA20-336A,T1132
AA20-336A,T1080
AA20-336A,T1008
AA20-336A,T1518
AA20-336A,T1134
AA20-336A,T1018
AA20-336A,T1068
AA20-336A,T1078
AA20-336A,T1106
AA20-336A,T1098
AA20-336A,T1119
AA20-336A,T1082
AA20-336A,T1005
AA20-336A,T1187
AA20-336A,T1036
AA20-336A,T1123
AA20-336A,T1090
AA20-336A,T1199
AA20-336A,T1092
AA20-336A,T1546
AA20-336A,T1057
AA20-336A,T1046
AA20-336A,T1547
AA20-336A,T1561
AA20-336A,T1070
AA20-336A,T1071
AA20-336A,T1041
AA20-336A,T1218
AA20-336A,T1133
AA20-336A,T1047
AA20-336A,T1012
AA20-336A,T1569
AA20-336A,T1496
AA20-336A,T1201
AA20-336A,T1083
AA20-336A,T1555
AA20-336A,T1564
AA20-336A,T1053
AA20-336A,T1055
AA20-336A,T1025
AA20-336A,T1195
AA20-336A,T1553
AA20-336A,T1221
AA20-336A,T1566
AA20-336A,T1003
AA20-336A,T1033
AA20-336A,T1203
AA20-336A,T1542
AA20-336A,T1480
AA20-336A,T1040
AA20-336A,T1069
AA20-336A,T1190
AA20-336A,T1021
AA20-336A,T1189
AA20-336A,T1104
AA20-336A,T1007
AA20-336A,T1140
AA20-336A,T1486
AA20-336A,T1087
AA20-336A,T1048
AA20-336A,T1204
