Cluster ID,Id
35,107
35,1085
35,1220
35,1765
36,109
36,218
36,272
36,483
36,606
36,1424
36,1494
36,1702
36,1734
36,1778
36,1873
36,2854
36,2856
36,2861
36,3379
37,114
37,3344
37,3345
38,115
38,477
39,117
39,831
39,2185
39,2718
40,119
40,182
40,237
40,674
40,1404
40,1517
40,1520
40,1523
40,1562
40,1961
40,2036
40,2042
40,2062
40,2098
40,2531
40,2532
40,2534
41,121
41,825
41,1121
42,122
42,129
42,535
42,536
42,539
42,541
42,543
42,676
42,677
42,1149
42,1288
42,1290
42,1291
42,1294
42,1295
42,1382
42,1932
42,2060
42,2294
42,2397
43,123
43,152
43,153
43,1724
43,3501
43,3510
44,124
44,125
44,128
44,158
44,166
44,167
44,168
44,463
44,464
44,569
44,665
44,1004
44,1170
44,1383
44,1620
44,2241
44,2290
44,2338
45,130
45,133
45,480
45,597
45,1386
45,2994
46,134
46,402
46,673
46,1044
46,1306
46,1310
46,1458
46,1463
46,1601
46,1998
46,2291
46,3205
47,138
47,557
47,605
47,2506
48,142
48,145
48,2380
49,147
49,148
49,184
49,591
49,924
49,1891
49,1971
49,2016
49,2136
49,2536
50,155
50,156
50,655
50,666
50,667
51,159
51,161
51,649
51,671
51,1258
51,1974
52,160
52,215
52,641
52,644
52,645
52,672
52,875
52,1199
52,1252
52,1621
52,1993
52,2083
53,172
53,434
53,515
53,516
53,530
53,531
53,613
53,620
53,675
53,886
53,1151
53,1184
53,1218
53,1332
53,1359
53,1371
53,1372
53,1375
53,1376
53,1941
53,1943
53,1944
53,1946
53,1973
53,2008
53,2043
53,2173
53,2192
53,2204
53,2211
53,2212
53,2213
53,2214
53,2216
53,2229
53,2232
53,2234
53,2238
53,2239
53,2263
53,2361
53,2419
53,2554
53,2577
53,2655
53,2820
53,3043
53,3073
53,3179
53,3225
54,174
54,403
54,2341
54,2345
55,188
55,955
55,1032
55,1612
55,1806
55,3084
55,3342
55,3442
55,3446
56,189
56,199
56,438
56,442
56,904
56,905
56,956
56,2693
56,2908
57,191
